# Существительное

N:0:pA	NCXXNXXAP
V:Part:DT-:pass:0pA	PPXDXAPF
V:Part:DT-:pass:0pD	PPXDXDPF
V:Part:DT-:pass:0pG	PPXDXGPF
V:Part:DT-:pass:0pI	PPXDXIPF
V:Part:DT-:pass:0pL	PPXDXLPF
V:Part:DT-:pass:0pN	PPXDXNPF
V:Part:DT-:pass:fsA	PPXDFASF
V:Part:DT-:pass:fsD	PPXDFDSF
V:Part:DT-:pass:fsG	PPXDFGSF
V:Part:DT-:pass:fsI	PPXDFISF
V:Part:DT-:pass:fsL	PPXDFLSF
V:Part:DT-:pass:fsN	PPXDFNSF
V:Part:DT-:pass:msA	PPXDMASF
V:Part:DT-:pass:msD	PPXDMDSF
V:Part:DT-:pass:msG	PPXDMGSF
V:Part:DT-:pass:msI	PPXDMISF
V:Part:DT-:pass:msL	PPXDMLSF
V:Part:DT-:pass:msN	PPXDMNSF
V:Part:DT-:pass:nsA	PPXDNASF
V:Part:DT-:pass:nsD	PPXDNDSF
V:Part:DT-:pass:nsG	PPXDNGSF
V:Part:DT-:pass:nsI	PPXDNISF
V:Part:DT-:pass:nsL	PPXDNLSF
V:Part:DT-:pass:nsN	PPXDNNSF
	
V:Part:ID-:pass:0pA	PPXIXAPF
V:Part:ID-:pass:0pD	PPXIXDPF
V:Part:ID-:pass:0pG	PPXIXGPF
V:Part:ID-:pass:0pI	PPXIXIPF
V:Part:ID-:pass:0pL	PPXIXLPF
V:Part:ID-:pass:0pN	PPXIXNPF
V:Part:ID-:pass:fsA	PPXIFASF
V:Part:ID-:pass:fsD	PPXIFDSF
V:Part:ID-:pass:fsG	PPXIFGSF
V:Part:ID-:pass:fsI	PPXIFISF
V:Part:ID-:pass:fsL	PPXIFLSF
V:Part:ID-:pass:fsN	PPXIFNSF
V:Part:ID-:pass:msA	PPXIMASF
V:Part:ID-:pass:msD	PPXIMDSF
V:Part:ID-:pass:msG	PPXIMGSF
V:Part:ID-:pass:msI	PPXIMISF
V:Part:ID-:pass:msL	PPXIMLSF
V:Part:ID-:pass:msN	PPXIMNSF
V:Part:ID-:pass:nsA	PPXINASF
V:Part:ID-:pass:nsD	PPXINDSF
V:Part:ID-:pass:nsG	PPXINGSF
V:Part:ID-:pass:nsI	PPXINISF
V:Part:ID-:pass:nsL	PPXINLSF
V:Part:ID-:pass:nsN	PPXINNSF
	
V:Part:II-:pass:0pA	PPXIXAPF
V:Part:II-:pass:0pD	PPXIXDPF
V:Part:II-:pass:0pG	PPXIXGPF
V:Part:II-:pass:0pI	PPXIXIPF
V:Part:II-:pass:0pL	PPXIXLPF
V:Part:II-:pass:0pN	PPXIXNPF
V:Part:II-:pass:fsA	PPXIFASF
V:Part:II-:pass:fsD	PPXIFDSF
V:Part:II-:pass:fsG	PPXIFGSF
V:Part:II-:pass:fsI	PPXIFISF
V:Part:II-:pass:fsL	PPXIFLSF
V:Part:II-:pass:fsN	PPXIFNSF
V:Part:II-:pass:msA	PPXIMASF
V:Part:II-:pass:msD	PPXIMDSF
V:Part:II-:pass:msG	PPXIMGSF
V:Part:II-:pass:msI	PPXIMISF
V:Part:II-:pass:msL	PPXIMLSF
V:Part:II-:pass:msN	PPXIMNSF
V:Part:II-:pass:nsA	PPXINASF
V:Part:II-:pass:nsD	PPXINDSF
V:Part:II-:pass:nsG	PPXINGSF
V:Part:II-:pass:nsI	PPXINISF
V:Part:II-:pass:nsL	PPXINLSF
V:Part:II-:pass:nsN	PPXINNSF
	
V:Part:IT-:pass:0pA	PPXIXAPF
V:Part:IT-:pass:0pD	PPXIXDPF
V:Part:IT-:pass:0pG	PPXIXGPF
V:Part:IT-:pass:0pI	PPXIXIPF
V:Part:IT-:pass:0pL	PPXIXLPF
V:Part:IT-:pass:0pN	PPXIXNPF
V:Part:IT-:pass:fsA	PPXIFASF
V:Part:IT-:pass:fsD	PPXIFDSF
V:Part:IT-:pass:fsG	PPXIFGSF
V:Part:IT-:pass:fsI	PPXIFISF
V:Part:IT-:pass:fsL	PPXIFLSF
V:Part:IT-:pass:fsN	PPXIFNSF
V:Part:IT-:pass:msA	PPXIMASF
V:Part:IT-:pass:msD	PPXIMDSF
V:Part:IT-:pass:msG	PPXIMGSF
V:Part:IT-:pass:msI	PPXIMISF
V:Part:IT-:pass:msL	PPXIMLSF
V:Part:IT-:pass:msN	PPXIMNSF
V:Part:IT-:pass:nsA	PPXINASF
V:Part:IT-:pass:nsD	PPXINDSF
V:Part:IT-:pass:nsG	PPXINGSF
V:Part:IT-:pass:nsI	PPXINISF
V:Part:IT-:pass:nsL	PPXINLSF
V:Part:IT-:pass:nsN	PPXINNSF
	
V:Part:PD-:pass:0pA	PPXPXAPF
V:Part:PD-:pass:0pD	PPXPXDPF
V:Part:PD-:pass:0pG	PPXPXGPF
V:Part:PD-:pass:0pI	PPXPXIPF
V:Part:PD-:pass:0pL	PPXPXLPF
V:Part:PD-:pass:0pN	PPXPXNPF
V:Part:PD-:pass:fsA	PPXPFASF
V:Part:PD-:pass:fsD	PPXPFDSF
V:Part:PD-:pass:fsG	PPXPFGSF
V:Part:PD-:pass:fsI	PPXPFISF
V:Part:PD-:pass:fsL	PPXPFLSF
V:Part:PD-:pass:fsN	PPXPFNSF
V:Part:PD-:pass:msA	PPXPMASF
V:Part:PD-:pass:msD	PPXPMDSF
V:Part:PD-:pass:msG	PPXPMGSF
V:Part:PD-:pass:msI	PPXPMISF
V:Part:PD-:pass:msL	PPXPMLSF
V:Part:PD-:pass:msN	PPXPMNSF
V:Part:PD-:pass:nsA	PPXPNASF
V:Part:PD-:pass:nsD	PPXPNDSF
V:Part:PD-:pass:nsG	PPXPNGSF
V:Part:PD-:pass:nsI	PPXPNISF
V:Part:PD-:pass:nsL	PPXPNLSF
V:Part:PD-:pass:nsN	PPXPNNSF
	
V:Part:PI-:pass:0pA	PPXPXAPF
V:Part:PI-:pass:0pD	PPXPXDPF
V:Part:PI-:pass:0pG	PPXPXGPF
V:Part:PI-:pass:0pI	PPXPXIPF
V:Part:PI-:pass:0pL	PPXPXLPF
V:Part:PI-:pass:0pN	PPXPXNPF
V:Part:PI-:pass:fsA	PPXPFASF
V:Part:PI-:pass:fsD	PPXPFDSF
V:Part:PI-:pass:fsG	PPXPFGSF
V:Part:PI-:pass:fsI	PPXPFISF
V:Part:PI-:pass:fsL	PPXPFLSF
V:Part:PI-:pass:fsN	PPXPFNSF
V:Part:PI-:pass:msA	PPXPMASF
V:Part:PI-:pass:msD	PPXPMDSF
V:Part:PI-:pass:msG	PPXPMGSF
V:Part:PI-:pass:msI	PPXPMISF
V:Part:PI-:pass:msL	PPXPMLSF
V:Part:PI-:pass:msN	PPXPMNSF
V:Part:PI-:pass:nsA	PPXPNASF
V:Part:PI-:pass:nsD	PPXPNDSF
V:Part:PI-:pass:nsG	PPXPNGSF
V:Part:PI-:pass:nsI	PPXPNISF
V:Part:PI-:pass:nsL	PPXPNLSF
V:Part:PI-:pass:nsN	PPXPNNSF
	
V:Part:PT-:pass:0pA	PPXPXAPF
V:Part:PT-:pass:0pD	PPXPXDPF
V:Part:PT-:pass:0pG	PPXPXGPF
V:Part:PT-:pass:0pI	PPXPXIPF
V:Part:PT-:pass:0pL	PPXPXLPF
V:Part:PT-:pass:0pN	PPXPXNPF
V:Part:PT-:pass:fsA	PPXPFASF
V:Part:PT-:pass:fsD	PPXPFDSF
V:Part:PT-:pass:fsG	PPXPFGSF
V:Part:PT-:pass:fsI	PPXPFISF
V:Part:PT-:pass:fsL	PPXPFLSF
V:Part:PT-:pass:fsN	PPXPFNSF
V:Part:PT-:pass:msA	PPXPMASF
V:Part:PT-:pass:msD	PPXPMDSF
V:Part:PT-:pass:msG	PPXPMGSF
V:Part:PT-:pass:msI	PPXPMISF
V:Part:PT-:pass:msL	PPXPMLSF
V:Part:PT-:pass:msN	PPXPMNSF
V:Part:PT-:pass:nsA	PPXPNASF
V:Part:PT-:pass:nsD	PPXPNDSF
V:Part:PT-:pass:nsG	PPXPNGSF
V:Part:PT-:pass:nsI	PPXPNISF
V:Part:PT-:pass:nsL	PPXPNLSF
V:Part:PT-:pass:nsN	PPXPNNSF

V:Part:DD-:pass:p:0pA	PPRDXAPF
V:Part:DD-:pass:p:0pD	PPRDXDPF
V:Part:DD-:pass:p:0pG	PPRDXGPF
V:Part:DD-:pass:p:0pI	PPRDXIPF
V:Part:DD-:pass:p:0pL	PPRDXLPF
V:Part:DD-:pass:p:0pN	PPRDXNPF
V:Part:DD-:pass:p:fsA	PPRDFASF
V:Part:DD-:pass:p:fsD	PPRDFDSF
V:Part:DD-:pass:p:fsG	PPRDFGSF
V:Part:DD-:pass:p:fsI	PPRDFISF
V:Part:DD-:pass:p:fsL	PPRDFLSF
V:Part:DD-:pass:p:fsN	PPRDFNSF
V:Part:DD-:pass:p:msA	PPRDMASF
V:Part:DD-:pass:p:msD	PPRDMDSF
V:Part:DD-:pass:p:msG	PPRDMGSF
V:Part:DD-:pass:p:msI	PPRDMISF
V:Part:DD-:pass:p:msL	PPRDMLSF
V:Part:DD-:pass:p:msN	PPRDMNSF
V:Part:DD-:pass:p:nsA	PPRDNASF
V:Part:DD-:pass:p:nsD	PPRDNDSF
V:Part:DD-:pass:p:nsG	PPRDNGSF
V:Part:DD-:pass:p:nsI	PPRDNISF
V:Part:DD-:pass:p:nsL	PPRDNLSF
V:Part:DD-:pass:p:nsN	PPRDNNSF
	
V:Part:DI-:pass:p:0pA	PPRDXAPF
V:Part:DI-:pass:p:0pD	PPRDXDPF
V:Part:DI-:pass:p:0pG	PPRDXGPF
V:Part:DI-:pass:p:0pI	PPRDXIPF
V:Part:DI-:pass:p:0pL	PPRDXLPF
V:Part:DI-:pass:p:0pN	PPRDXNPF
V:Part:DI-:pass:p:fsA	PPRDFASF
V:Part:DI-:pass:p:fsD	PPRDFDSF
V:Part:DI-:pass:p:fsG	PPRDFGSF
V:Part:DI-:pass:p:fsI	PPRDFISF
V:Part:DI-:pass:p:fsL	PPRDFLSF
V:Part:DI-:pass:p:fsN	PPRDFNSF
V:Part:DI-:pass:p:msA	PPRDMASF
V:Part:DI-:pass:p:msD	PPRDMDSF
V:Part:DI-:pass:p:msG	PPRDMGSF
V:Part:DI-:pass:p:msI	PPRDMISF
V:Part:DI-:pass:p:msL	PPRDMLSF
V:Part:DI-:pass:p:msN	PPRDMNSF
V:Part:DI-:pass:p:nsA	PPRDNASF
V:Part:DI-:pass:p:nsD	PPRDNDSF
V:Part:DI-:pass:p:nsG	PPRDNGSF
V:Part:DI-:pass:p:nsI	PPRDNISF
V:Part:DI-:pass:p:nsL	PPRDNLSF
V:Part:DI-:pass:p:nsN	PPRDNNSF
	
V:Part:DT-:pass:p:0pA	PPRDXAPF
V:Part:DT-:pass:p:0pD	PPRDXDPF
V:Part:DT-:pass:p:0pG	PPRDXGPF
V:Part:DT-:pass:p:0pI	PPRDXIPF
V:Part:DT-:pass:p:0pL	PPRDXLPF
V:Part:DT-:pass:p:0pN	PPRDXNPF
V:Part:DT-:pass:p:fsA	PPRDFASF
V:Part:DT-:pass:p:fsD	PPRDFDSF
V:Part:DT-:pass:p:fsG	PPRDFGSF
V:Part:DT-:pass:p:fsI	PPRDFISF
V:Part:DT-:pass:p:fsL	PPRDFLSF
V:Part:DT-:pass:p:fsN	PPRDFNSF
V:Part:DT-:pass:p:msA	PPRDMASF
V:Part:DT-:pass:p:msD	PPRDMDSF
V:Part:DT-:pass:p:msG	PPRDMGSF
V:Part:DT-:pass:p:msI	PPRDMISF
V:Part:DT-:pass:p:msL	PPRDMLSF
V:Part:DT-:pass:p:msN	PPRDMNSF
V:Part:DT-:pass:p:nsA	PPRDNASF
V:Part:DT-:pass:p:nsD	PPRDNDSF
V:Part:DT-:pass:p:nsG	PPRDNGSF
V:Part:DT-:pass:p:nsI	PPRDNISF
V:Part:DT-:pass:p:nsL	PPRDNLSF
V:Part:DT-:pass:p:nsN	PPRDNNSF
	
V:Part:ID-:pass:p:0pA	PPRIXAPF
V:Part:ID-:pass:p:0pD	PPRIXDPF
V:Part:ID-:pass:p:0pG	PPRIXGPF
V:Part:ID-:pass:p:0pI	PPRIXIPF
V:Part:ID-:pass:p:0pL	PPRIXLPF
V:Part:ID-:pass:p:0pN	PPRIXNPF
V:Part:ID-:pass:p:fsA	PPRIFASF
V:Part:ID-:pass:p:fsD	PPRIFDSF
V:Part:ID-:pass:p:fsG	PPRIFGSF
V:Part:ID-:pass:p:fsI	PPRIFISF
V:Part:ID-:pass:p:fsL	PPRIFLSF
V:Part:ID-:pass:p:fsN	PPRIFNSF
V:Part:ID-:pass:p:msA	PPRIMASF
V:Part:ID-:pass:p:msD	PPRIMDSF
V:Part:ID-:pass:p:msG	PPRIMGSF
V:Part:ID-:pass:p:msI	PPRIMISF
V:Part:ID-:pass:p:msL	PPRIMLSF
V:Part:ID-:pass:p:msN	PPRIMNSF
V:Part:ID-:pass:p:nsA	PPRINASF
V:Part:ID-:pass:p:nsD	PPRINDSF
V:Part:ID-:pass:p:nsG	PPRINGSF
V:Part:ID-:pass:p:nsI	PPRINISF
V:Part:ID-:pass:p:nsL	PPRINLSF
V:Part:ID-:pass:p:nsN	PPRINNSF
	
V:Part:II-:pass:p:0pA	PPRIXAPF
V:Part:II-:pass:p:0pD	PPRIXDPF
V:Part:II-:pass:p:0pG	PPRIXGPF
V:Part:II-:pass:p:0pI	PPRIXIPF
V:Part:II-:pass:p:0pL	PPRIXLPF
V:Part:II-:pass:p:0pN	PPRIXNPF
V:Part:II-:pass:p:fsA	PPRIFASF
V:Part:II-:pass:p:fsD	PPRIFDSF
V:Part:II-:pass:p:fsG	PPRIFGSF
V:Part:II-:pass:p:fsI	PPRIFISF
V:Part:II-:pass:p:fsL	PPRIFLSF
V:Part:II-:pass:p:fsN	PPRIFNSF
V:Part:II-:pass:p:msA	PPRIMASF
V:Part:II-:pass:p:msD	PPRIMDSF
V:Part:II-:pass:p:msG	PPRIMGSF
V:Part:II-:pass:p:msI	PPRIMISF
V:Part:II-:pass:p:msL	PPRIMLSF
V:Part:II-:pass:p:msN	PPRIMNSF
V:Part:II-:pass:p:nsA	PPRINASF
V:Part:II-:pass:p:nsD	PPRINDSF
V:Part:II-:pass:p:nsG	PPRINGSF
V:Part:II-:pass:p:nsI	PPRINISF
V:Part:II-:pass:p:nsL	PPRINLSF
V:Part:II-:pass:p:nsN	PPRINNSF
	
V:Part:IT-:pass:p:0pA	PPRIXAPF
V:Part:IT-:pass:p:0pD	PPRIXDPF
V:Part:IT-:pass:p:0pG	PPRIXGPF
V:Part:IT-:pass:p:0pI	PPRIXIPF
V:Part:IT-:pass:p:0pL	PPRIXLPF
V:Part:IT-:pass:p:0pN	PPRIXNPF
V:Part:IT-:pass:p:fsA	PPRIFASF
V:Part:IT-:pass:p:fsD	PPRIFDSF
V:Part:IT-:pass:p:fsG	PPRIFGSF
V:Part:IT-:pass:p:fsI	PPRIFISF
V:Part:IT-:pass:p:fsL	PPRIFLSF
V:Part:IT-:pass:p:fsN	PPRIFNSF
V:Part:IT-:pass:p:msA	PPRIMASF
V:Part:IT-:pass:p:msD	PPRIMDSF
V:Part:IT-:pass:p:msG	PPRIMGSF
V:Part:IT-:pass:p:msI	PPRIMISF
V:Part:IT-:pass:p:msL	PPRIMLSF
V:Part:IT-:pass:p:msN	PPRIMNSF
V:Part:IT-:pass:p:nsA	PPRINASF
V:Part:IT-:pass:p:nsD	PPRINDSF
V:Part:IT-:pass:p:nsG	PPRINGSF
V:Part:IT-:pass:p:nsI	PPRINISF
V:Part:IT-:pass:p:nsL	PPRINLSF
V:Part:IT-:pass:p:nsN	PPRINNSF

V:Part:PT-:pass:p:0pA	PPRPXAPF
V:Part:PT-:pass:p:0pD	PPRPXDPF
V:Part:PT-:pass:p:0pG	PPRPXGPF
V:Part:PT-:pass:p:0pI	PPRPXIPF
V:Part:PT-:pass:p:0pL	PPRPXLPF
V:Part:PT-:pass:p:0pN	PPRPXNPF
V:Part:PT-:pass:p:fsA	PPRPFASF
V:Part:PT-:pass:p:fsD	PPRPFDSF
V:Part:PT-:pass:p:fsG	PPRPFGSF
V:Part:PT-:pass:p:fsI	PPRPFISF
V:Part:PT-:pass:p:fsL	PPRPFLSF
V:Part:PT-:pass:p:fsN	PPRPFNSF
V:Part:PT-:pass:p:msA	PPRPMASF
V:Part:PT-:pass:p:msD	PPRPMDSF
V:Part:PT-:pass:p:msG	PPRPMGSF
V:Part:PT-:pass:p:msI	PPRPMISF
V:Part:PT-:pass:p:msL	PPRPMLSF
V:Part:PT-:pass:p:msN	PPRPMNSF
V:Part:PT-:pass:p:nsA	PPRPNASF
V:Part:PT-:pass:p:nsD	PPRPNDSF
V:Part:PT-:pass:p:nsG	PPRPNGSF
V:Part:PT-:pass:p:nsI	PPRPNISF
V:Part:PT-:pass:p:nsL	PPRPNLSF
V:Part:PT-:pass:p:nsN	PPRPNNSF

V:Part:DD-:pass:a:0pA	PPPDXAPF
V:Part:DD-:pass:a:0pD	PPPDXDPF
V:Part:DD-:pass:a:0pG	PPPDXGPF
V:Part:DD-:pass:a:0pI	PPPDXIPF
V:Part:DD-:pass:a:0pL	PPPDXLPF
V:Part:DD-:pass:a:0pN	PPPDXNPF
V:Part:DD-:pass:a:fsA	PPPDFASF
V:Part:DD-:pass:a:fsD	PPPDFDSF
V:Part:DD-:pass:a:fsG	PPPDFGSF
V:Part:DD-:pass:a:fsI	PPPDFISF
V:Part:DD-:pass:a:fsL	PPPDFLSF
V:Part:DD-:pass:a:fsN	PPPDFNSF
V:Part:DD-:pass:a:msA	PPPDMASF
V:Part:DD-:pass:a:msD	PPPDMDSF
V:Part:DD-:pass:a:msG	PPPDMGSF
V:Part:DD-:pass:a:msI	PPPDMISF
V:Part:DD-:pass:a:msL	PPPDMLSF
V:Part:DD-:pass:a:msN	PPPDMNSF
V:Part:DD-:pass:a:nsA	PPPDNASF
V:Part:DD-:pass:a:nsD	PPPDNDSF
V:Part:DD-:pass:a:nsG	PPPDNGSF
V:Part:DD-:pass:a:nsI	PPPDNISF
V:Part:DD-:pass:a:nsL	PPPDNLSF
V:Part:DD-:pass:a:nsN	PPPDNNSF
	
V:Part:DI-:pass:a:0pA	PPPDXAPF
V:Part:DI-:pass:a:0pD	PPPDXDPF
V:Part:DI-:pass:a:0pG	PPPDXGPF
V:Part:DI-:pass:a:0pI	PPPDXIPF
V:Part:DI-:pass:a:0pL	PPPDXLPF
V:Part:DI-:pass:a:0pN	PPPDXNPF
V:Part:DI-:pass:a:fsA	PPPDFASF
V:Part:DI-:pass:a:fsD	PPPDFDSF
V:Part:DI-:pass:a:fsG	PPPDFGSF
V:Part:DI-:pass:a:fsI	PPPDFISF
V:Part:DI-:pass:a:fsL	PPPDFLSF
V:Part:DI-:pass:a:fsN	PPPDFNSF
V:Part:DI-:pass:a:msA	PPPDMASF
V:Part:DI-:pass:a:msD	PPPDMDSF
V:Part:DI-:pass:a:msG	PPPDMGSF
V:Part:DI-:pass:a:msI	PPPDMISF
V:Part:DI-:pass:a:msL	PPPDMLSF
V:Part:DI-:pass:a:msN	PPPDMNSF
V:Part:DI-:pass:a:nsA	PPPDNASF
V:Part:DI-:pass:a:nsD	PPPDNDSF
V:Part:DI-:pass:a:nsG	PPPDNGSF
V:Part:DI-:pass:a:nsI	PPPDNISF
V:Part:DI-:pass:a:nsL	PPPDNLSF
V:Part:DI-:pass:a:nsN	PPPDNNSF
	
V:Part:DT-:pass:a:0pA	PPPDXAPF
V:Part:DT-:pass:a:0pD	PPPDXDPF
V:Part:DT-:pass:a:0pG	PPPDXGPF
V:Part:DT-:pass:a:0pI	PPPDXIPF
V:Part:DT-:pass:a:0pL	PPPDXLPF
V:Part:DT-:pass:a:0pN	PPPDXNPF
V:Part:DT-:pass:a:fsA	PPPDFASF
V:Part:DT-:pass:a:fsD	PPPDFDSF
V:Part:DT-:pass:a:fsG	PPPDFGSF
V:Part:DT-:pass:a:fsI	PPPDFISF
V:Part:DT-:pass:a:fsL	PPPDFLSF
V:Part:DT-:pass:a:fsN	PPPDFNSF
V:Part:DT-:pass:a:msA	PPPDMASF
V:Part:DT-:pass:a:msD	PPPDMDSF
V:Part:DT-:pass:a:msG	PPPDMGSF
V:Part:DT-:pass:a:msI	PPPDMISF
V:Part:DT-:pass:a:msL	PPPDMLSF
V:Part:DT-:pass:a:msN	PPPDMNSF
V:Part:DT-:pass:a:nsA	PPPDNASF
V:Part:DT-:pass:a:nsD	PPPDNDSF
V:Part:DT-:pass:a:nsG	PPPDNGSF
V:Part:DT-:pass:a:nsI	PPPDNISF
V:Part:DT-:pass:a:nsL	PPPDNLSF
V:Part:DT-:pass:a:nsN	PPPDNNSF
	
V:Part:ID-:pass:a:0pA	PPPIXAPF
V:Part:ID-:pass:a:0pD	PPPIXDPF
V:Part:ID-:pass:a:0pG	PPPIXGPF
V:Part:ID-:pass:a:0pI	PPPIXIPF
V:Part:ID-:pass:a:0pL	PPPIXLPF
V:Part:ID-:pass:a:0pN	PPPIXNPF
V:Part:ID-:pass:a:fsA	PPPIFASF
V:Part:ID-:pass:a:fsD	PPPIFDSF
V:Part:ID-:pass:a:fsG	PPPIFGSF
V:Part:ID-:pass:a:fsI	PPPIFISF
V:Part:ID-:pass:a:fsL	PPPIFLSF
V:Part:ID-:pass:a:fsN	PPPIFNSF
V:Part:ID-:pass:a:msA	PPPIMASF
V:Part:ID-:pass:a:msD	PPPIMDSF
V:Part:ID-:pass:a:msG	PPPIMGSF
V:Part:ID-:pass:a:msI	PPPIMISF
V:Part:ID-:pass:a:msL	PPPIMLSF
V:Part:ID-:pass:a:msN	PPPIMNSF
V:Part:ID-:pass:a:nsA	PPPINASF
V:Part:ID-:pass:a:nsD	PPPINDSF
V:Part:ID-:pass:a:nsG	PPPINGSF
V:Part:ID-:pass:a:nsI	PPPINISF
V:Part:ID-:pass:a:nsL	PPPINLSF
V:Part:ID-:pass:a:nsN	PPPINNSF
	
V:Part:II-:pass:a:0pA	PPPIXAPF
V:Part:II-:pass:a:0pD	PPPIXDPF
V:Part:II-:pass:a:0pG	PPPIXGPF
V:Part:II-:pass:a:0pI	PPPIXIPF
V:Part:II-:pass:a:0pL	PPPIXLPF
V:Part:II-:pass:a:0pN	PPPIXNPF
V:Part:II-:pass:a:fsA	PPPIFASF
V:Part:II-:pass:a:fsD	PPPIFDSF
V:Part:II-:pass:a:fsG	PPPIFGSF
V:Part:II-:pass:a:fsI	PPPIFISF
V:Part:II-:pass:a:fsL	PPPIFLSF
V:Part:II-:pass:a:fsN	PPPIFNSF
V:Part:II-:pass:a:msA	PPPIMASF
V:Part:II-:pass:a:msD	PPPIMDSF
V:Part:II-:pass:a:msG	PPPIMGSF
V:Part:II-:pass:a:msI	PPPIMISF
V:Part:II-:pass:a:msL	PPPIMLSF
V:Part:II-:pass:a:msN	PPPIMNSF
V:Part:II-:pass:a:nsA	PPPINASF
V:Part:II-:pass:a:nsD	PPPINDSF
V:Part:II-:pass:a:nsG	PPPINGSF
V:Part:II-:pass:a:nsI	PPPINISF
V:Part:II-:pass:a:nsL	PPPINLSF
V:Part:II-:pass:a:nsN	PPPINNSF
	
V:Part:IT-:pass:a:0pA	PPPIXAPF
V:Part:IT-:pass:a:0pD	PPPIXDPF
V:Part:IT-:pass:a:0pG	PPPIXGPF
V:Part:IT-:pass:a:0pI	PPPIXIPF
V:Part:IT-:pass:a:0pL	PPPIXLPF
V:Part:IT-:pass:a:0pN	PPPIXNPF
V:Part:IT-:pass:a:fsA	PPPIFASF
V:Part:IT-:pass:a:fsD	PPPIFDSF
V:Part:IT-:pass:a:fsG	PPPIFGSF
V:Part:IT-:pass:a:fsI	PPPIFISF
V:Part:IT-:pass:a:fsL	PPPIFLSF
V:Part:IT-:pass:a:fsN	PPPIFNSF
V:Part:IT-:pass:a:msA	PPPIMASF
V:Part:IT-:pass:a:msD	PPPIMDSF
V:Part:IT-:pass:a:msG	PPPIMGSF
V:Part:IT-:pass:a:msI	PPPIMISF
V:Part:IT-:pass:a:msL	PPPIMLSF
V:Part:IT-:pass:a:msN	PPPIMNSF
V:Part:IT-:pass:a:nsA	PPPINASF
V:Part:IT-:pass:a:nsD	PPPINDSF
V:Part:IT-:pass:a:nsG	PPPINGSF
V:Part:IT-:pass:a:nsI	PPPINISF
V:Part:IT-:pass:a:nsL	PPPINLSF
V:Part:IT-:pass:a:nsN	PPPINNSF
	
V:Part:PD-:pass:a:0pA	PPPPXAPF
V:Part:PD-:pass:a:0pD	PPPPXDPF
V:Part:PD-:pass:a:0pG	PPPPXGPF
V:Part:PD-:pass:a:0pI	PPPPXIPF
V:Part:PD-:pass:a:0pL	PPPPXLPF
V:Part:PD-:pass:a:0pN	PPPPXNPF
V:Part:PD-:pass:a:fsA	PPPPFASF
V:Part:PD-:pass:a:fsD	PPPPFDSF
V:Part:PD-:pass:a:fsG	PPPPFGSF
V:Part:PD-:pass:a:fsI	PPPPFISF
V:Part:PD-:pass:a:fsL	PPPPFLSF
V:Part:PD-:pass:a:fsN	PPPPFNSF
V:Part:PD-:pass:a:msA	PPPPMASF
V:Part:PD-:pass:a:msD	PPPPMDSF
V:Part:PD-:pass:a:msG	PPPPMGSF
V:Part:PD-:pass:a:msI	PPPPMISF
V:Part:PD-:pass:a:msL	PPPPMLSF
V:Part:PD-:pass:a:msN	PPPPMNSF
V:Part:PD-:pass:a:nsA	PPPPNASF
V:Part:PD-:pass:a:nsD	PPPPNDSF
V:Part:PD-:pass:a:nsG	PPPPNGSF
V:Part:PD-:pass:a:nsI	PPPPNISF
V:Part:PD-:pass:a:nsL	PPPPNLSF
V:Part:PD-:pass:a:nsN	PPPPNNSF
	
V:Part:PI-:pass:a:0pA	PPPPXAPF
V:Part:PI-:pass:a:0pD	PPPPXDPF
V:Part:PI-:pass:a:0pG	PPPPXGPF
V:Part:PI-:pass:a:0pI	PPPPXIPF
V:Part:PI-:pass:a:0pL	PPPPXLPF
V:Part:PI-:pass:a:0pN	PPPPXNPF
V:Part:PI-:pass:a:fsA	PPPPFASF
V:Part:PI-:pass:a:fsD	PPPPFDSF
V:Part:PI-:pass:a:fsG	PPPPFGSF
V:Part:PI-:pass:a:fsI	PPPPFISF
V:Part:PI-:pass:a:fsL	PPPPFLSF
V:Part:PI-:pass:a:fsN	PPPPFNSF
V:Part:PI-:pass:a:msA	PPPPMASF
V:Part:PI-:pass:a:msD	PPPPMDSF
V:Part:PI-:pass:a:msG	PPPPMGSF
V:Part:PI-:pass:a:msI	PPPPMISF
V:Part:PI-:pass:a:msL	PPPPMLSF
V:Part:PI-:pass:a:msN	PPPPMNSF
V:Part:PI-:pass:a:nsA	PPPPNASF
V:Part:PI-:pass:a:nsD	PPPPNDSF
V:Part:PI-:pass:a:nsG	PPPPNGSF
V:Part:PI-:pass:a:nsI	PPPPNISF
V:Part:PI-:pass:a:nsL	PPPPNLSF
V:Part:PI-:pass:a:nsN	PPPPNNSF
	
V:Part:PT-:pass:a:0pA	PPPPXAPF
V:Part:PT-:pass:a:0pD	PPPPXDPF
V:Part:PT-:pass:a:0pG	PPPPXGPF
V:Part:PT-:pass:a:0pI	PPPPXIPF
V:Part:PT-:pass:a:0pL	PPPPXLPF
V:Part:PT-:pass:a:0pN	PPPPXNPF
V:Part:PT-:pass:a:fsA	PPPPFASF
V:Part:PT-:pass:a:fsD	PPPPFDSF
V:Part:PT-:pass:a:fsG	PPPPFGSF
V:Part:PT-:pass:a:fsI	PPPPFISF
V:Part:PT-:pass:a:fsL	PPPPFLSF
V:Part:PT-:pass:a:fsN	PPPPFNSF
V:Part:PT-:pass:a:msA	PPPPMASF
V:Part:PT-:pass:a:msD	PPPPMDSF
V:Part:PT-:pass:a:msG	PPPPMGSF
